Title,Source,Sentiment,Sentiment_Score
শেখ হাসিনার মামলার রায় সরাসরি সম্প্রচার হবে: প্রসিকিউটর গাজী মোনাওয়ার,https://www.prothomalo.com/,Negative,0.623699426651001
আলো এক্সপ্লেইনার গণভোটে ‘না’ জয়ী,https://www.prothomalo.com/,Positive,0.6779548525810242
গাজীপুরে গভীর রাতে গ্রামীণ ব্যাংকে পেট্রলবোমা হামলা,https://www.prothomalo.com/,Negative,0.9714139103889465
"মাদারীপুরে মহাসড়কে গাছ ফেলে অবরোধ, ঘণ্টার চলাচল স্বাভাবিক",https://www.prothomalo.com/,Negative,0.9291902780532837
ফাঁকা ঢাকার আসন চিন্তা বিএনপিতে,https://www.prothomalo.com/,Positive,0.9082857966423035
রুপি কম পাবেন জেনেও চেন্নাই ছাড়লেন জাদেজা,https://www.prothomalo.com/,Negative,0.5948007106781006
মতামত পাকিস্তানের ট্রাম্পের আঁতাত বিপজ্জনক,https://www.prothomalo.com/,Negative,0.9913668036460876
মতামত সরকারি পে স্কেলে সংস্কার,https://www.prothomalo.com/,Positive,0.9733282327651978
ক্রাউন সিমেন্ট অভিজ্ঞতার আলো : সিরাজুল ইসলাম চৌধুরী হৃদয়বান বুদ্ধিমান মানুষেরা পৃথিবীটাকে সুন্দর,https://www.prothomalo.com/,Positive,0.994404673576355
"ইসির সংলাপে ইসলামী ঐক্যজোটের দুপক্ষে তর্ক, একাংশকে বের হয়ে",https://www.prothomalo.com/,Negative,0.7457204461097717
পবিত্র ঈদুল ফিতরের সম্ভাব্য তারিখ জানাল আরব আমিরাত,https://www.prothomalo.com/,Positive,0.9597663879394531
"প্রতিষ্ঠাবার্ষিকীর লেখা বছর বয়সী ইংরেজির শিক্ষক, ফলোয়ার লাখ",https://www.prothomalo.com/,Positive,0.9809162020683289
লাল কার্ড হলুদ কার্ড দেখায় এগিয়ে—মেসি রোনালদো,https://www.prothomalo.com/,Positive,0.8886284232139587
বই পর্যালোচনা রিগ্যান ট্রাম্প: যুক্তরাষ্ট্রের পতন চীনের উত্থানের গল্প,https://www.prothomalo.com/,Negative,0.9344450831413269
ব্যাংকে ‘পরিবারতন্ত্রে’র লাগাম টানছে সরকার,https://www.prothomalo.com/,Negative,0.6511824727058411
সিলেটে মোটরসাইকেলে অ্যাম্বুলেন্সে আগুন দিল দুর্বৃত্তরা,https://www.prothomalo.com/,Negative,0.973152756690979
রাজধানীর হাজারীবাগে মধ্যরাতে বাসে আগুন,https://www.prothomalo.com/,Negative,0.9383884072303772
"আটকে প্রাপ্তবয়স্কদের সনদ পাওয়া বাংলা সিনেমা, নেপথ্যে",https://www.prothomalo.com/,Negative,0.8044301271438599
সাতকানিয়ায় রেললাইনে গাছ ফেলে নাশকতার,https://www.prothomalo.com/,Negative,0.9737704396247864
"লিবিয়া উপকূলে বাংলাদেশি আরোহীবাহী নৌকাডুবি, মৃত্যু",https://www.prothomalo.com/,Negative,0.9889919757843018
শেখ হাসিনার মামলার রায় সরাসরি সম্প্রচার হবে: প্রসিকিউটর গাজী মোনাওয়ার,https://www.prothomalo.com/,Negative,0.623699426651001
আলো এক্সপ্লেইনার গণভোটে ‘না’ জয়ী,https://www.prothomalo.com/,Positive,0.6779548525810242
গাজীপুরে গভীর রাতে গ্রামীণ ব্যাংকে পেট্রলবোমা হামলা,https://www.prothomalo.com/,Negative,0.9714139103889465
"মাদারীপুরে মহাসড়কে গাছ ফেলে অবরোধ, ঘণ্টার চলাচল স্বাভাবিক",https://www.prothomalo.com/,Negative,0.9291902780532837
ফাঁকা ঢাকার আসন চিন্তা বিএনপিতে,https://www.prothomalo.com/,Positive,0.9082857966423035
রুপি কম পাবেন জেনেও চেন্নাই ছাড়লেন জাদেজা,https://www.prothomalo.com/,Negative,0.5948007106781006
মতামত পাকিস্তানের ট্রাম্পের আঁতাত বিপজ্জনক,https://www.prothomalo.com/,Negative,0.9913668036460876
মতামত সরকারি পে স্কেলে সংস্কার,https://www.prothomalo.com/,Positive,0.9733282327651978
ক্রাউন সিমেন্ট অভিজ্ঞতার আলো : সিরাজুল ইসলাম চৌধুরী হৃদয়বান বুদ্ধিমান মানুষেরা পৃথিবীটাকে সুন্দর,https://www.prothomalo.com/,Positive,0.994404673576355
